StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,user_id,Q1796,Q1762,MFSQ1,MFSQ2,MFSQ3,MFSQ4,MFSQ5,MFSQ6,MFSQ7,MFSQ8,MFSQ9,MFSQ10,MFSQ11,MFSQ12,MFSQ13,MFSQ14,MFSQ15,MFSQ16,attention_check.1,MFSQ17,MFSQ18,MFSQ19,MFSQ20,MFSQ21,MFSQ22,MFSQ23,MFSQ24,MFSQ25,MFSQ26,MFSQ27,MFSQ28,MFSQ29,MFSQ30,MFSQ31,MFSQ32,attention_check.2,BIG5_1,BIG5_2,BIG5_3,BIG5_4,BIG5_5,BIG5_6,BIG5_7,BIG5_8,BIG5_9,BIG5_10,BIG5_11,BIG5_12,BIG5_13,BIG5_14,BIG5_15,BIG5_16,BIG5_17,BIG5_18,BIG5_19,BIG5_20,BIG5_21,BIG5_22,BIG5_23,BIG5_24,BIG5_25,BIG5_26,BIG5_27,BIG5_28,BIG5_29,BIG5_30,BIG5_31,BIG5_32,BIG5_33,BIG5_34,BIG5_35,BIG5_36,BIG5_37,BIG5_38,BIG5_39,BIG5_40,BIG5_41,BIG5_42,BIG5_43,BIG5_44,BIG5_45,BIG5_46,BIG5_47,BIG5_48,BIG5_49,BIG5_50,BIG5_51,BIG5_52,BIG5_53,BIG5_54,BIG5_55,BIG5_56,BIG5_57,BIG5_58,BIG5_59,BIG5_60,sex,age,race_ethnicity,education,ReligionRaised,ReligionNow,Religiosity,Spirituality,AttendChurch,ReligiousActivity,meditation,RelationshipStatus,Income,Major,YearOfEducation,EmploymentStatus,Political_Party,HumanMind,Optimize,republican,democrat,independent,conservative,liberal,POWER,SELF-DIRECTION,ACHIEVEMENT,HEDONISM,STIMULATION,UNIVERSALISM,attention_check.3,BENEVOLENCE,TRADITION,CONFORMITY,SECURITY,MC_Lying,MC_Assassin,MC_Torture,MC_Murder,MC_Stealing,MC_Steril,FS1,EC1,PT1,EC2,FS2,PD1,FS3,PT2,EC3,PD2,PT3,FS4,PD3,EC4,PT4,FS5,PD4,EC5,PD5,EC6,PT5,EC7,FS6,attention_check.4,PD6,PT6,FS7,PD7,PT7,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS7,SNS8,Berlin1,Berlin2,Berlin3,Berlin4,GRiPS_1,GRiPS_2,GRiPS_3,GRiPS_4,GRiPS_5,GRiPS_6,GRiPS_7,GRiPS_8,Q1797,Q1802_1,Q1802_2,Q1802_3,Q1802_4,Q1802_5,Q1802_6,Q1802_7,SC0,completion code,batch
3/12/20 19:02,3/12/20 19:08,0,196.17.67.91,100,357,1,3/12/20 19:08,R_2qyFy0ORacEErYZ,,,,,34.05439758,-118.2440033,anonymous,EN,aV7OwysJ,,1,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,2,0,4,3,4,3,4,3,4,3,4,2,4,3,4,3,4,3,1,4,3,4,4,2,4,3,5,4,4,4,2,4,3,4,4,3,4,4,3,4,4,2,4,3,4,4,3,4,2,4,3,4,3,4,4,2,4,3,5,2,4,3,4,4,3,4,2,4,3,4,3,4,3,4,4,2,4,3,4,1,28,2,4,1,1,2,2,4,3,2,3,55000,IT,16,"IT, Sofware Engineer",2,0,1,6,5,6,5,6,7,5,7,5,7,3,,7,6,7,3,1,1,2,2,2,1,3,2,2,1,2,3,2,3,2,3,2,1,3,1,3,3,1,1,3,3,2,3,2,,3,3,3,2,3,5,4,5,4,5,4,3,5,6,3,10,6,,,,,,,,,,,,,,,,,513,R_2qyFy0ORacEErYZ,1
3/12/20 18:59,3/12/20 19:08,0,73.138.104.199,100,550,1,3/12/20 19:08,R_20VtsEPwCmS1GQ4,,,,,25.77029419,-80.2071991,anonymous,EN,w5DG17p0,,1,4,3,3,5,1,0,3,3,4,2,5,4,5,2,4,0,1,5,5,5,4,5,5,5,5,0,0,0,5,0,4,5,5,1,1,1,1,5,5,5,5,1,5,4,2,1,5,1,4,5,5,5,1,1,5,1,1,5,1,3,1,1,5,2,5,1,5,1,1,1,4,5,1,4,2,5,5,5,1,1,5,1,5,5,1,5,5,1,1,2,1,1,1,4,1,28,2,3,1,1,2,2,2,4,1,1,55000,computer science,16,full time manager,2,1,0,7,1,1,7,1,8,8,8,6,8,1,,1,1,1,4,1,0,1,0,0,0,2,0,1,0,0,0,4,1,0,0,2,4,0,0,4,4,0,0,0,0,1,0,4,,0,2,4,0,2,1,3,2,3,6,6,1,6,100,25,10,10,,,,,,,,,,,,,,,,,444,R_20VtsEPwCmS1GQ4,1
3/12/20 18:59,3/12/20 19:10,0,69.23.233.96,100,645,1,3/12/20 19:10,R_1Nm0X6PjEU12kFa,,,,,38.2131958,-84.54550171,anonymous,EN,ZAtx6CUR,,1,0,5,0,3,0,0,0,0,0,0,0,5,0,0,5,0,1,5,5,5,5,3,5,5,5,0,5,3,3,0,3,5,5,1,5,1,1,5,5,5,5,1,5,5,5,2,5,1,5,3,5,5,4,1,5,1,1,5,1,1,1,1,5,5,1,5,5,1,1,1,1,5,1,5,5,5,5,5,3,3,5,1,5,5,1,5,5,1,3,5,1,1,1,5,2,43,2,3,8,8,1,1,1,1,1,2,77000,Healthcare Administration - Business,16,Health Insurance - Manager,2,0,0,7,1,1,7,1,4,4,4,1,4,4,,4,4,1,4,1,0,0,0,0,0,0,2,4,0,0,0,0,4,4,0,4,0,0,0,4,0,0,1,0,0,4,0,0,,0,4,0,0,4,4,4,4,4,6,6,1,6,40,25,20,5,,,,,,,,,,,,,,,,,444,R_1Nm0X6PjEU12kFa,1
3/12/20 19:01,3/12/20 19:10,0,47.39.22.254,100,559,1,3/12/20 19:10,R_2zu9MMk3P0gFcM8,,,,,43.21510315,-124.1983948,anonymous,EN,2OsQQK3Z,,1,4,5,0,2,1,0,4,5,1,0,0,5,5,1,3,0,1,5,5,0,4,1,5,4,4,3,1,3,4,4,3,2,0,1,1,5,5,1,4,4,4,5,1,5,2,5,1,5,5,4,1,2,5,2,2,4,4,2,5,5,4,4,1,4,4,5,2,5,5,2,2,5,5,2,2,5,1,1,1,4,5,4,1,5,2,5,4,5,5,4,2,4,5,4,2,45,2,2,1,11,1,1,1,1,1,1,27000,accounting,14,not working,1,0,0,1,7,2,1,7,1,4,3,4,1,5,,6,1,1,4,1,0,0,0,1,1,0,4,2,3,1,1,3,2,4,3,4,3,3,3,2,0,4,3,1,4,4,4,1,,0,4,0,0,2,4,5,6,6,5,2,2,5,10,35,60,15,,,,,,,,,,,,,,,,,460,R_2zu9MMk3P0gFcM8,1
3/12/20 18:58,3/12/20 19:11,0,162.204.57.19,100,802,1,3/12/20 19:11,R_1mr2JUsmUeOYL07,,,,,42.08070374,-88.51699829,anonymous,EN,aPO6mMV7,,1,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,4,1,3,4,4,4,3,4,3,4,4,4,3,4,4,3,4,4,1,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,3,2,4,4,3,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,,73,2,2,1,1,2,2,5,4,3,3,39000,none,12,labor,1,1,0,1,7,4,4,6,6,6,6,6,5,5,,5,6,6,6,1,1,1,2,1,0,3,3,2,2,2,3,1,3,3,2,3,1,1,1,1,2,3,2,1,3,3,2,2,,3,3,3,3,3,5,4,5,5,5,4,2,5,10,8,30,60,,,,,,,,,,,,,,,,,519,R_1mr2JUsmUeOYL07,1
3/12/20 19:02,3/12/20 19:12,0,8.6.84.157,100,581,1,3/12/20 19:12,R_1FwGjKJUlOtE2zF,,,,,36.52760315,-93.93589783,anonymous,EN,vsJDnjLj,,1,0,1,2,2,4,0,3,4,3,4,4,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5,5,0,0,0,3,5,1,1,4,4,5,4,2,5,4,5,5,4,1,5,1,4,5,1,1,1,1,1,1,4,5,1,4,5,4,5,4,4,4,2,1,1,1,1,2,1,5,2,1,5,5,1,1,1,2,5,4,1,5,4,1,5,2,4,1,1,4,1,55,2,1,1,1,4,1,2,6,1,1,12000,none,11,Full time employed Webmaster,2,1,0,7,1,1,7,1,1,8,4,1,1,1,,4,5,4,4,0,0,0,0,0,0,4,3,0,4,0,0,2,0,3,2,0,4,1,1,0,0,1,4,1,3,0,3,2,,0,0,1,0,0,6,6,6,6,6,6,1,6,25,30,20,50,,,,,,,,,,,,,,,,,447,R_1FwGjKJUlOtE2zF,1
3/12/20 19:01,3/12/20 19:16,0,24.253.126.227,100,874,1,3/12/20 19:16,R_8BQ40c7Sx7d6HAd,,,,,36.20820618,-115.2957001,anonymous,EN,3eryCPLE,,1,4,4,3,4,4,0,4,4,4,4,0,4,5,4,4,4,1,5,5,3,5,5,5,4,4,4,3,4,5,1,4,5,4,1,2,5,2,4,4,4,4,1,4,5,1,1,5,1,4,4,1,4,1,1,4,1,1,4,4,1,4,1,4,1,4,4,4,1,1,1,1,4,1,5,4,1,4,4,1,4,1,1,4,5,1,4,5,1,1,5,4,1,1,5,2,52,2,4,1,1,2,3,3,6,6,3,42000,business,18,project manager manufacturing,3,1,0,1,1,7,3,5,0,6,6,4,8,3,,8,8,3,8,0,0,0,0,0,0,1,3,4,4,2,0,1,3,4,3,4,2,0,4,4,0,2,4,1,3,4,3,3,,0,4,0,0,3,5,5,6,6,6,5,3,5,10,30,20,20,,,,,,,,,,,,,,,,,559,R_8BQ40c7Sx7d6HAd,1
3/12/20 19:13,3/12/20 19:17,0,72.221.114.234,100,242,1,3/12/20 19:17,R_3NVy79nMKmQGsNk,,,,,41.88600159,-71.34570313,anonymous,EN,oEFhKj3D,,1,4,3,4,3,3,2,4,3,3,4,3,3,4,4,3,3,1,4,4,3,4,2,2,3,2,3,2,1,3,4,3,3,2,1,4,3,3,4,2,4,3,4,2,4,4,3,4,3,4,3,4,2,2,4,3,3,2,3,2,4,4,4,3,4,3,2,2,4,3,3,4,4,3,3,3,2,4,2,2,4,4,3,3,2,4,4,4,3,4,4,4,3,4,2,1,30,2,3,1,1,2,3,3,3,3,1,42214,Retail,13,retail,3,0,0,5,4,4,6,4,7,4,7,4,6,3,,5,4,5,4,1,2,1,1,1,0,3,2,1,2,3,1,1,2,2,3,2,1,2,1,3,2,2,1,2,3,2,2,2,,3,3,2,1,2,5,4,3,5,4,3,3,3,20,20,32,25,,,,,,,,,,,,,,,,,478,R_3NVy79nMKmQGsNk,1
3/12/20 19:09,3/12/20 19:19,0,138.229.206.3,100,591,1,3/12/20 19:19,R_w7QFfjBnGDJ2RIl,,,,,33.78399658,-118.1853943,anonymous,EN,5ORauwUN,,1,5,5,0,0,5,0,5,2,5,4,0,1,4,3,2,4,1,4,3,4,5,2,4,4,3,4,3,4,5,5,4,3,4,1,1,4,2,4,3,4,4,1,4,1,2,3,4,1,1,2,1,4,4,2,2,4,1,1,2,2,2,1,4,1,1,1,2,2,1,1,1,4,3,2,5,1,4,3,4,4,2,3,4,3,2,4,4,1,2,4,3,4,3,4,1,32,3,3,1,1,3,3,4,5,6,3,35000,computer science,16,cpu support specialist,1,1,0,1,5,3,4,4,2,4,5,1,4,2,,4,3,2,3,0,0,0,0,0,0,1,2,3,2,1,3,2,3,2,1,2,3,1,1,2,3,2,1,3,1,3,3,4,,2,3,2,1,2,2,2,3,2,3,4,4,4,200,25,35,10,,,,,,,,,,,,,,,,,469,R_w7QFfjBnGDJ2RIl,1
3/12/20 19:04,3/12/20 19:20,0,97.89.234.97,100,963,1,3/12/20 19:20,R_2fiIdafcT5YEiT9,,,,,35.45019531,-79.13619995,anonymous,EN,lkC8NMWO,,1,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,1,5,5,1,2,5,5,5,5,3,4,5,5,5,3,1,5,1,2,5,3,3,4,2,5,3,3,4,4,4,4,2,2,5,1,3,2,4,2,2,5,2,3,4,5,3,4,4,4,4,2,4,4,5,2,2,3,3,3,4,4,4,4,2,2,3,2,2,4,4,4,3,4,2,4,3,2,2,2,39,8,2,3,3,3,3,3,6,1,3,19000,Medical Office Admin,13,student,1,1,0,1,4,6,6,6,4,8,8,4,4,8,,8,8,8,8,1,0,0,0,0,1,4,4,4,4,0,2,2,4,4,4,4,3,2,3,2,4,3,3,2,4,4,4,4,,2,4,4,2,4,1,1,1,1,2,6,1,6,60,30,35,20,,,,,,,,,,,,,,,,,564,R_2fiIdafcT5YEiT9,1
