"","user_id","condition","Risk_Beta","Ratio_Beta","Gain_Beta","Sex","Age","Race/Ethnicity","Education","NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","NA.13"
"1","01rSsifR","Mood",-0.287826329341081,6.46821547486962,0.255976409101351,"Female","29","Black","High School/Secondary School Degree (or equivalent)","Christianity","Christianity","Somewhat Religious","Very Spiritual","A few times a year","More than once a week","A few times a month","In a Relationship","41000","Business Management","15","Project Manager - Information","Democrat","Souls"
"2","19x3QrYn","Language (spoken)",0.0520240317101582,-0.336353044592203,0.0195171271641847,"Male","33","Asian","College - Bachelor's Degree","Christianity","Christianity","Extremely Religious","Extremely Spiritual","More than once a week","More than once a week","More than once a week","Married","50000","4","12","FULL TIME","Democrat","Souls"
"3","2OsQQK3Z","Short Term (Working) Memory",-0.00303982731011472,0.440207577957814,0.109526634259974,"Female","45","White","High School/Secondary School Degree (or equivalent)","Christianity","None","Not Religious","Not Spiritual","Never","Never","Never","Single","27000","accounting","14","not working","Democrat","Computers"
"4","2X1xhDjv","Self-control",-0.356308971473157,4.21833312434776,0.154461423136445,"Male","25","Asian","College - Bachelor's Degree","Christianity","None","Not Religious","Not Spiritual","Never","Never","Never","Single","4000","Accounting","18","Unemployed","Independent","Souls"
"5","363Bpm6B","Short Term (Working) Memory",-0.0313419825195399,1.42291642526222,0.126783957146689,"Male","32","White","College - Bachelor's Degree","Christianity","None","Not Religious","Somewhat Spiritual","Never","Never","Never","In a Relationship","33000","Web Design","14","Retail - Sales Clerk","Democrat","Souls"
"6","3eryCPLE","Attention (Concentration)",0.0347612914529065,0.49709072399311,0.146687214156559,"Female","52","White","Master's Degree","Christianity","Christianity","Somewhat Religious","Very Spiritual","A few times a year","More than once a week","More than once a week","Married","42000","business","18","project manager manufacturing","Independent","Souls"
"7","3FgQya4U","Short Term (Working) Memory",-0.0606674451520912,3.71103082610305,0.0880251039148702,"Female","55","White","High School/Secondary School Degree (or equivalent)","Christianity","Christianity","Not Religious","Somewhat Spiritual","Never","Never","Never","Divorced","49500","Business Management","14","Medical Claims Supervisor fulltime","Democrat","Computers"
"8","5ORauwUN","Short Term (Working) Memory",-0.0134980617769446,2.10168153362472,0.184798664816107,"Male","32","Hispanic or Latino","College - Bachelor's Degree","Christianity","Christianity","Very Religious","Very Spiritual","A few times a month","Once a week","More than once a week","Married","35000","computer science","16","cpu support specialist","Democrat","Souls"
"9","aZKHUZcI","Motor Function",-0.00483629311378208,-0.126455124418746,-0.0236661001852662,"Male","25","Asian","College - Bachelor's Degree","Hinduism","Hinduism","Not Religious","Not Spiritual","Once a year or less","Never","Never","Single","28000","Information Technology","16","Information Technology and Tech lead","Republican","Souls"
"10","dbNJPQT8","Short Term (Working) Memory",-0.213044835636955,1.48460581440496,0.140928437492267,"Female","25","White","High School/Secondary School Degree (or equivalent)","None","None","Not Religious","Extremely Spiritual","Once a year or less","Never","More than once a week","In a Relationship","42000","healthcare","14"," healthcare cna","Independent","Souls"
