"","user_id","condition","total_trials","risk","gain","no_effect","experimental_treatment_selected","key_press","rt","ratio","Extraversion","Agreeableness","Conscientiousness","Negative_Emotionality","Open_Mindedness","Harm","Fairness","Loyalty","Athority","Sancticy","sex","age_4","race_ethnicity","education","Q1538","Q1539","Q1540","Q1541","Q1542","Q1543","Q1544","Q1545","income","Q1547","Q1567","Q1548","political_aff","Q1550","Q1551","trial_index","risk_c","gain_c","Risk_Beta","Gain_Beta","Interaction","lambda"
"1","01rSsifR","Mood",75,45,50,5,"No to treatment",90,3474.27500000049,1.11111111111111,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"1",-0.799999999999997,22.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"2","01rSsifR","Mood",75,85,5,10,"No to treatment",90,690.744999999879,0.0588235294117647,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"2",39.2,-22.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"3","01rSsifR","Mood",75,80,5,15,"No to treatment",90,594.010000000708,0.0625,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"3",34.2,-22.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"4","01rSsifR","Mood",75,80,15,5,"No to treatment",77,657.070000001113,0.1875,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"4",34.2,-12.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"5","01rSsifR","Mood",75,85,5,10,"No to treatment",77,601.350000000792,0.0588235294117647,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"5",39.2,-22.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"6","01rSsifR","Mood",75,65,30,5,"No to treatment",90,994.02000000191,0.461538461538462,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"6",19.2,2.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"7","01rSsifR","Mood",75,5,65,30,"Yes to treatment",77,929.390000001149,13,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"7",-40.8,37.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"8","01rSsifR","Mood",75,10,45,45,"Yes to treatment",90,994.17000000173,4.5,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"8",-35.8,17.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"9","01rSsifR","Mood",75,40,10,50,"No to treatment",77,738.004999999248,0.25,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"9",-5.8,-17.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"10","01rSsifR","Mood",75,35,55,10,"Yes to treatment",77,1041.73499999888,1.57142857142857,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"10",-10.8,27.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"11","01rSsifR","Mood",75,80,15,5,"No to treatment",90,722.050000000279,0.1875,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"11",34.2,-12.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"12","01rSsifR","Mood",75,15,30,55,"Yes to treatment",77,1281.52999999656,2,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"12",-30.8,2.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"13","01rSsifR","Mood",75,50,35,15,"No to treatment",90,849.764999999024,0.7,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"13",4.2,7.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"14","01rSsifR","Mood",75,30,20,50,"No to treatment",77,801.445000000967,0.666666666666667,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"14",-15.8,-7.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"15","01rSsifR","Mood",75,85,5,10,"No to treatment",77,640.49999999773,0.0588235294117647,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"15",39.2,-22.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"16","01rSsifR","Mood",75,35,30,35,"No to treatment",90,946.24499999918,0.857142857142857,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"16",-10.8,2.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"17","01rSsifR","Mood",75,60,10,30,"No to treatment",90,737.744999998511,0.166666666666667,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"17",14.2,-17.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"18","01rSsifR","Mood",75,5,90,5,"Yes to treatment",90,769.834999999148,18,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"18",-40.8,62.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"19","01rSsifR","Mood",75,30,25,45,"No to treatment",77,865.819999999076,0.833333333333333,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"19",-15.8,-2.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"20","01rSsifR","Mood",75,90,5,5,"No to treatment",77,722.444999999425,0.0555555555555556,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"20",44.2,-22.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"21","01rSsifR","Mood",75,35,40,25,"Yes to treatment",77,849.040000000969,1.14285714285714,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"21",-10.8,12.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"22","01rSsifR","Mood",75,65,15,20,"No to treatment",90,769.885000001523,0.230769230769231,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"22",19.2,-12.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"23","01rSsifR","Mood",75,70,20,10,"No to treatment",77,673.77999999735,0.285714285714286,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"23",24.2,-7.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"24","01rSsifR","Mood",75,65,25,10,"No to treatment",77,529.495000002498,0.384615384615385,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"24",19.2,-2.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"25","01rSsifR","Mood",75,80,5,15,"No to treatment",77,640.995000001567,0.0625,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"25",34.2,-22.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"26","01rSsifR","Mood",75,15,75,10,"Yes to treatment",77,1009.45999999749,5,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"26",-30.8,47.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"27","01rSsifR","Mood",75,10,5,85,"No to treatment",90,1602.04500000327,0.5,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"27",-35.8,-22.4,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
"28","01rSsifR","Mood",75,5,75,20,"Yes to treatment",77,642.015000001295,15,39,37,38,39,43,23,24,13,20,16,"2",29,1,2,1,1,2,3,3,6,4,2,"41000","Business Management","15","Project Manager - Information",1,1,0,"28",-40.8,47.6,-0.206866797591081,0.10797258228388,-0.0115950050735494,1.91591970123666
